Entry Time,Lane_1,Lane_2,Lane_3,Lane_4
1,13,13,13,13
2,22,22,22,22
3,27,27,27,27
4,28,28,28,28
5,33,33,33,33
6,42,42,42,42
7,47,47,47,47
8,48,48,48,48
9,53,53,53,53
10,62,62,62,62
11,67,67,67,67
12,68,68,68,68
13,73,73,73,73
14,82,82,82,82
15,87,87,87,87
16,88,88,88,88
17,93,93,93,93
18,102,102,102,102
19,107,107,107,107
20,108,108,108,108
21,113,113,113,113
22,122,122,122,122
23,127,127,127,127
24,128,128,128,128
25,133,133,133,133
26,142,142,142,142
27,147,147,147,147
28,148,148,148,148
29,153,153,153,153
30,162,162,162,162
31,167,167,167,167
32,168,168,168,168
33,173,173,173,173
34,182,182,182,182
35,187,187,187,187
36,188,188,188,188
37,193,193,193,193
38,202,202,202,202
39,207,207,207,207
40,208,208,208,208
41,213,213,213,213
42,222,222,222,222
43,227,227,227,227
44,228,228,228,228
45,233,233,233,233
46,242,242,242,242
47,247,247,247,247
48,248,248,248,248
49,253,253,253,253
50,262,262,262,262
51,267,267,267,267
52,268,268,268,268
53,273,273,273,273
54,282,282,282,282
55,287,287,287,287
56,288,288,288,288
57,293,293,293,293
58,302,302,302,302
59,307,307,307,307
60,308,308,308,308
