Entry Time,Lane_1,Lane_2,Lane_3,Lane_4
1,3,4,5,6
2,10,7,5,3
3,7,13,14,7
4,11,11,9,12
5,16,12,13,10
6,18,7,11,10
7,17,18,12,23
8,12,19,17,14
9,13,16,19,16
10,24,20,26,20
11,23,22,24,21
12,22,29,24,26
13,29,22,27,23
14,23,22,27,21
15,26,25,30,29
16,24,26,28,25
17,33,33,24,28
18,31,34,30,45
19,34,45,31,35
20,44,36,44,39
21,39,33,40,41
22,36,35,43,36
23,38,42,42,48
24,43,40,46,39
25,55,36,44,46
26,48,56,49,50
27,52,43,54,46
28,54,55,55,64
29,34,54,43,49
30,54,52,60,52
31,60,53,57,63
32,45,54,56,51
33,55,72,56,59
34,67,64,63,62
35,67,62,54,76
36,59,70,69,63
37,64,63,61,68
38,59,64,76,73
39,75,66,77,66
40,64,69,82,66
41,73,68,66,55
42,82,67,96,75
43,77,79,75,78
44,75,69,83,78
45,89,76,86,78
46,95,96,87,83
47,76,75,68,80
48,86,88,75,74
49,83,73,79,96
50,102,90,96,85
51,97,95,80,90
52,75,93,96,75
53,95,79,87,76
54,106,91,88,88
55,93,93,100,106
56,89,84,107,98
57,94,101,86,101
58,102,98,108,93
59,106,108,89,103
60,111,98,106,110
