Entry Time,Lane_1,Lane_2,Lane_3,Lane_4
1,2,4,3,1
2,4,6,12,9
3,10,7,8,12
4,8,10,8,6
5,10,8,12,13
6,10,19,17,20
7,17,14,17,10
8,19,15,17,22
9,19,18,14,13
10,17,22,17,23
11,25,19,21,22
12,25,21,29,19
13,18,26,25,23
14,31,33,27,30
15,28,28,29,28
16,31,27,31,34
17,32,32,38,33
18,35,38,37,36
19,35,33,50,37
20,35,43,23,32
21,36,33,40,34
22,36,36,34,45
23,48,53,37,35
24,51,41,40,48
25,36,49,50,47
26,55,41,43,49
27,48,50,52,56
28,43,37,53,37
29,64,59,49,45
30,55,56,55,54
31,44,58,54,50
32,55,59,64,52
33,50,54,51,66
34,62,55,50,62
35,62,71,63,44
36,61,61,59,66
37,60,76,65,55
38,77,59,64,67
39,58,75,74,63
40,75,72,63,69
41,70,82,82,72
42,73,79,63,68
43,80,67,79,70
44,87,68,70,72
45,71,89,74,78
46,72,87,74,81
47,81,94,92,90
48,85,68,94,91
49,76,95,82,68
50,69,81,94,81
51,84,77,99,96
52,89,85,79,98
53,95,103,96,102
54,84,97,88,96
55,102,93,95,76
56,99,92,113,85
57,96,93,103,99
58,104,108,88,111
59,109,104,109,97
60,85,114,90,96
